Dataset order,Sepal length,Sepal width,Petal length,Petal width
61,5.0,2.0,3.5,1.0
32,5.4,3.4,1.5,0.4
88,6.3,2.3,4.4,1.3
123,7.7,2.8,6.7,2.0
146,6.7,3.0,5.2,2.3
103,7.1,3.0,5.9,2.1
3,4.7,3.2,1.3,0.2
129,6.4,2.8,5.6,2.1
12,4.8,3.4,1.6,0.2
30,4.7,3.2,1.6,0.2
145,6.7,3.3,5.7,2.5
80,5.7,2.6,3.5,1.0
8,5.0,3.4,1.5,0.2
100,5.7,2.8,4.1,1.3
109,6.7,2.5,5.8,1.8
56,5.7,2.8,4.5,1.3
62,5.9,3.0,4.2,1.5
42,4.5,2.3,1.3,0.3
87,6.7,3.1,4.7,1.5
78,6.7,3.0,5.0,1.7
110,7.2,3.6,6.1,2.5
47,5.1,3.8,1.6,0.2
133,6.4,2.8,5.6,2.2
86,6.0,3.4,4.5,1.6
124,6.3,2.7,4.9,1.8
104,6.3,2.9,5.6,1.8
131,7.4,2.8,6.1,1.9
99,5.1,2.5,3.0,1.1
135,6.1,2.6,5.6,1.4
117,6.5,3.0,5.5,1.8
6,5.4,3.9,1.7,0.4
121,6.9,3.2,5.7,2.3
66,6.7,3.1,4.4,1.4
31,4.8,3.1,1.6,0.2
26,5.0,3.0,1.6,0.2
119,7.7,2.6,6.9,2.3
115,5.8,2.8,5.1,2.4
90,5.5,2.5,4.0,1.3
15,5.8,4.0,1.2,0.2
75,6.4,2.9,4.3,1.3
128,6.1,3.0,4.9,1.8
20,5.1,3.8,1.5,0.3
107,4.9,2.5,4.5,1.7
50,5.0,3.3,1.4,0.2
68,5.8,2.7,4.1,1.0
44,5.0,3.5,1.6,0.6
120,6.0,2.2,5.0,1.5
140,6.9,3.1,5.4,2.1
91,5.5,2.6,4.4,1.2
41,5.0,3.5,1.3,0.3
92,6.1,3.0,4.6,1.4
108,7.3,2.9,6.3,1.8
149,6.2,3.4,5.4,2.3
35,4.9,3.1,1.5,0.2
69,6.2,2.2,4.5,1.5
37,5.5,3.5,1.3,0.2
118,7.7,3.8,6.7,2.2
21,5.4,3.4,1.7,0.2
40,5.1,3.4,1.5,0.2
43,4.4,3.2,1.3,0.2
23,4.6,3.6,1.0,0.2
36,5.0,3.2,1.2,0.2
81,5.5,2.4,3.8,1.1
60,5.2,2.7,3.9,1.4
142,6.9,3.1,5.1,2.3
27,5.0,3.4,1.6,0.4
5,5.0,3.6,1.4,0.3
112,6.4,2.7,5.3,1.9
126,7.2,3.2,6.0,1.8
53,6.9,3.1,4.9,1.5
116,6.4,3.2,5.3,2.3
76,6.6,3.0,4.4,1.4
13,4.8,3.0,1.4,0.1
65,5.6,2.9,3.6,1.3
14,4.3,3.0,1.1,0.1
38,4.9,3.6,1.4,0.1
95,5.6,2.7,4.2,1.3
48,4.6,3.2,1.4,0.2
139,6.0,3.0,4.8,1.8
101,6.3,3.3,6.0,2.5
28,5.2,3.5,1.5,0.2
18,5.1,3.5,1.4,0.3
102,5.8,2.7,5.1,1.9
141,6.7,3.1,5.6,2.4
105,6.5,3.0,5.8,2.2
25,4.8,3.4,1.9,0.2
58,4.9,2.4,3.3,1.0
71,5.9,3.2,4.8,1.8
106,7.6,3.0,6.6,2.1
77,6.8,2.8,4.8,1.4
4,4.6,3.1,1.5,0.2
49,5.3,3.7,1.5,0.2
52,6.4,3.2,4.5,1.5
39,4.4,3.0,1.3,0.2
33,5.2,4.1,1.5,0.1
72,6.1,2.8,4.0,1.3
144,6.8,3.2,5.9,2.3
89,5.6,3.0,4.1,1.3
11,5.4,3.7,1.5,0.2
54,5.5,2.3,4.0,1.3
9,4.4,2.9,1.4,0.2
138,6.4,3.1,5.5,1.8
70,5.6,2.5,3.9,1.1
130,7.2,3.0,5.8,1.6
122,5.6,2.8,4.9,2.0
73,6.3,2.5,4.9,1.5
79,6.0,2.9,4.5,1.5
98,6.2,2.9,4.3,1.3
134,6.3,2.8,5.1,1.5
150,5.9,3.0,5.1,1.8
97,5.7,2.9,4.2,1.3
74,6.1,2.8,4.7,1.2
84,6.0,2.7,5.1,1.6
17,5.4,3.9,1.3,0.4
96,5.7,3.0,4.2,1.2
111,6.5,3.2,5.1,2.0
24,5.1,3.3,1.7,0.5
2,4.9,3.0,1.4,0.2
57,6.3,3.3,4.7,1.6
147,6.3,2.5,5.0,1.9
